,EP_id,Publications_in_venue,OC_omid,issn,Open Access
7233,498279,76,061602085651,['2362-3306'],Unknown
8291,503445,76,0615097885,"['0992-986X', '2397-8570']",True
5027,486890,76,06202803033,"['2391-7571', '1429-186X']",True
6228,491709,76,06110332540,"['2516-5305', '1744-2532']",Unknown
3226,477807,76,06801841479,"['1744-1366', '1745-5316']",Unknown
3911,483268,76,062101766279,"['1573-9775', '2352-1236']",Unknown
6083,491132,76,061701607501,['0719-0948'],True
8397,504049,76,061102087748,['2077-5504'],True
7801,500418,76,06802385427,"['1558-8831', '2333-3154']",Unknown
4006,483762,76,06220629009,"['1752-2307', '1362-024X']",Unknown
5195,487492,76,06601823386,['1980-5799'],True
3948,483468,76,062302687258,"['1885-8155', '1885-8309']",True
8153,502750,76,061201690582,"['1429-3803', '2353-8120']",Unknown
6196,491566,76,06401713598,"['2570-6578', '2570-6586']",True
5099,487064,76,06302310747,"['2336-369X', '2336-3312']",Unknown
3497,480923,76,06502223086,"['1136-4076', '2659-921X']",Unknown
2961,475393,76,0614029699,['1958-5322'],True
4344,484953,75,0650460722,"['2385-8907', '2335-4127']",True
3433,480267,75,061801432224,['1339-3081'],Unknown
4723,486018,75,061201936889,"['2055-7973', '2055-7981']",Unknown
5090,487051,75,06902407099,"['2424-3590', '2029-7033']",True
6954,496987,75,06901179723,"['2227-1376', '2308-3743']",True
6336,493334,75,06402398484,"['2544-7432', '2299-2170']",Unknown
2027,446499,75,06210543967,"['1568-4857', '1570-0704']",Unknown
5854,490394,75,061701555982,['2238-0604'],True
6482,493855,75,061201709875,"['1133-6579', '2445-3943']",True
7165,497955,75,06101679223,"['2719-3276', '1896-656X']",Unknown
7600,499431,75,0611059705,"['2471-4461', '2472-4513']",Unknown
2253,447823,75,06502407554,"['2317-9511', '0104-639X']",True
5607,489110,75,06103234231,['2173-0687'],True
7173,497965,75,064044988,"['0120-3886', '2390-0016']",True
7663,499600,75,06802799339,"['2165-5413', '2165-5405']",Unknown
6948,496971,75,06601105535,['2299-6834'],True
5039,486916,75,06203088911,['2309-3854'],True
7285,498430,75,061602085619,"['2362-3063', '0328-820X']",True
2716,472158,74,061401459192,"['2340-2199', '1575-6823']",True
3898,483215,74,0610443025,"['1477-8351', '1745-5227']",Unknown
8023,502176,74,061901590340,['2669-0195'],True
4256,484770,74,062301255516,"['1643-8191', '2719-7476']",True
6220,491621,74,061201063795,['2146-4936'],True
5807,490255,74,061701860003,"['2057-035X', '2057-0341']",Unknown
4133,484098,74,06201703157,"['2451-4306', '1507-7888']",Unknown
5789,490153,74,061201892466,['1984-3925'],Unknown
4472,485287,74,06302427337,['1508-7719'],True
6334,493328,74,06502864198,['1303-8303'],Unknown
8293,503469,74,06101846543,['1306-6218'],Unknown
6147,491323,74,0618042982,"['2389-993X', '0122-1213']",True
3347,479163,74,06503236991,"['1886-4171', '2013-570X']",True
5428,488525,74,06302118317,"['2523-4870', '2311-2697']",True
7812,500459,74,061901436582,['1339-5629'],True
4040,483926,74,06301488300,['2340-7263'],True
607,436427,73,062601527407,"['1331-0194', '1846-3363']",True
5530,488816,73,06201731136,"['2215-7484', '0123-8418']",True
8207,502963,73,06601615544,['1642-557X'],Unknown
4929,486549,73,06703128091,"['1876-5149', '1876-5092']",Unknown
6245,492957,73,061401370250,"['2683-9601', '2313-9749']",True
4934,486560,73,06402172115,"['2341-2747', '2341-3050']",True
2822,473712,73,061801734808,['1887-3987'],True
2742,472469,73,06501653968,"['0210-5462', '2340-0129']",True
3580,481666,73,066043199,"['0034-9461', '2174-0909']",Unknown
7198,498095,73,06702341481,"['2408-9001', '2313-2337']",True
6768,496403,73,062401901287,"['0214-4379', '2255-3835']",True
7431,498897,73,061401050928,['2695-2769'],True
4812,486226,73,061201797012,['1718-8237'],Unknown
5467,488628,73,062401962332,['2386-2637'],Unknown
2069,446726,73,062202591306,"['1944-7167', '1061-1975']",Unknown
4091,484025,73,061601264830,"['1130-6149', '2254-4135']",True
6891,496801,73,06201613456,"['2603-5839', '2531-2359']",True
6097,491160,73,06601703796,['2386-5768'],True
4039,483923,72,061602025189,['2285-3642'],True
4495,485367,72,061601222379,['1760-7507'],Unknown
6962,497003,72,061801615553,"['2617-1759', '2223-5752']",True
4083,484009,72,061902141522,"['0874-0801', '2182-8660']",Unknown
2755,472586,72,061801825057,"['1736-2563', '2228-0677']",True
6511,494040,72,061301659536,['2174-6796'],Unknown
3773,482662,72,06180882159,"['0943-691X', '2194-4040']",Unknown
7989,502064,72,062201974795,"['2582-1334', '2320-2653']",Unknown
7729,500080,72,06301666717,"['2719-7131', '2391-6389']",True
4822,486254,72,061502009538,['1989-3477'],True
6240,492874,72,062202075299,['2451-1781'],True
7343,498654,72,06901978734,['2530-9986'],True
5558,488897,72,062301484693,['2444-0043'],True
2929,474953,72,062302071721,"['1751-4193', '1751-4207']",Unknown
3875,483103,72,06302808288,['1378-4641'],Unknown
2376,450868,72,06250941266,"['1364-0429', '2049-4572']",True
4482,485336,72,06901431471,"['1899-2226', '2353-4869']",True
3086,476522,72,061601482082,['2387-4562'],True
7924,501860,72,062202075255,"['1641-0920', '2451-1617']",Unknown
4613,485755,72,062401818733,['2178-9010'],True
6851,496716,72,061501289319,['1984-2430'],True
5967,490785,72,061901436637,['1339-7877'],Unknown
726,438077,72,062301940997,['2327-6436'],Unknown
3122,476796,72,06160505768,"['1989-0613', '0048-7694']",Unknown
7506,499141,72,06802473214,['2674-9009'],True
3909,483259,72,06501023949,"['2468-1652', '1567-7109']",Unknown
2640,471167,72,06101422223,"['0213-2370', '2174-0917']",Unknown
5806,490235,72,06202275742,"['0102-6267', '2238-8915']",Unknown
7889,501793,71,06701411201,['0890-0132'],Unknown
3814,482909,71,06201317383,"['1135-4712', '1988-3269']",Unknown
7466,499036,71,061103350139,['0255-0539'],True
5053,486952,71,06102145856,"['2073-7203', '2073-7211']",Unknown
7838,500581,71,06140859440,"['2578-3505', '2578-3491']",Unknown
7419,498862,71,0680629418,"['2668-7194', '2668-9987']",Unknown
5323,488173,71,06170819493,['1130-4715'],True
5172,487349,71,0670543212,['2354-0052'],Unknown
5553,488885,71,06402171951,"['2341-1902', '1576-7914']",True
5213,487575,71,062301985906,"['1791-4884', '1105-1639']",True
4743,486051,71,061401834803,['2254-5883'],True
7009,497157,71,062602001606,"['2539-2263', '2590-9126']",True
3189,477588,71,06901718293,['1799-3121'],True
4283,484836,71,062601789916,"['2080-1084', '2450-7938']",True
3570,481629,71,06301782303,"['0027-5344', '2720-7021']",Unknown
3035,476110,71,061601800260,"['1753-8645', '1753-8637']",Unknown
6229,491711,71,06301765762,"['1750-4562', '1750-4554']",Unknown
4868,486414,71,062401234636,"['2720-0515', '1232-1575']",True
3524,481288,71,06102338251,['2159-0303'],True
4827,486264,71,0617057276,"['2084-3860', '1895-975X']",Unknown
6090,491150,71,061501992828,['2359-3652'],True
3366,479694,71,06260784800,"['2042-8863', '2042-8855']",Unknown
6010,490955,71,06201702162,"['2449-9994', '1507-3866']",Unknown
7946,501960,70,06102172072,"['1667-4545', '1515-1867']",True
4838,486303,70,062501500829,"['1844-4369', '2065-9628']",True
5559,488900,70,0643034838,"['2449-8939', '2449-8920']",Unknown
7113,497640,70,069053080,"['2390-0032', '0120-1263']",True
5317,488157,70,062203025685,"['1581-128X', '1408-6271']",True
7319,498551,70,062501868730,['2686-6730'],Unknown
4509,485407,70,062101931044,"['1805-9503', '1211-3247']",Unknown
1992,446376,70,0637024824,"['0925-4757', '1569-9951']",Unknown
6280,493192,70,06802623035,['1889-836X'],True
5529,488812,70,06501637728,['0042-7306'],Unknown
5834,490327,70,0620956512,['2548-0707'],Unknown
3943,483433,70,062501953799,"['1803-7399', '2336-4416']",True
7756,500261,70,061601074094,"['2732-6640', '1106-5737']",True
7453,498985,70,062401509013,"['2574-1314', '2574-1306']",True
3621,481855,70,062402198771,"['0106-8040', '2246-4522']",Unknown
7168,497959,70,06201846200,['2550-682X'],Unknown
4090,484024,70,06502375356,"['2340-8995', '1130-5029']",True
84,340400,70,062301243945,"['1103-8152', '2002-0503']",True
5384,488363,70,061702217648,"['1909-941X', '2389-7848']",True
6182,491448,70,062401927693,['2530-7940'],True
7714,500002,70,067046710,"['2007-4336', '2448-8550']",True
4901,486501,70,062301049618,"['2084-4131', '2084-4115']",True
3123,476814,70,0618063541,"['2194-5985', '1546-5616']",Unknown
2373,450580,69,062503059809,['0926-6453'],Unknown
6387,493497,69,061901762124,"['0867-2040', '2449-8521']",True
7091,497528,69,06101691836,['2525-4715'],True
6448,493737,69,0620911170,['2280-6792'],True
5640,489326,69,061801231910,"['2466-4537', '0354-5415']",Unknown
6678,494975,69,06302601003,"['0188-4557', '2395-9169']",True
3256,478303,69,06260784644,"['2042-793X', '2042-7948']",Unknown
6364,493407,69,062201625969,"['2067-3957', '2068-0473']",True
3100,476602,69,062602145237,"['2041-952X', '2041-9511']",Unknown
4362,484995,69,061401955752,"['1868-632X', '1868-6338']",Unknown
5468,488640,69,0610868666,['2364-1177'],True
2246,447776,69,062401218138,"['0040-7518', '2352-1163']",Unknown
3483,480798,69,062202147787,"['1876-6633', '1877-6930']",Unknown
3545,481504,69,06901609767,"['0001-5830', '1588-2608']",Unknown
7817,500488,69,0634041575,['2708-9800'],True
4045,483938,69,06601313008,['0033-2860'],Unknown
4429,485154,69,06102253989,"['2049-7555', '2049-7563']",Unknown
6579,494283,69,066030601,"['1415-7543', '1981-9021']",True
4292,484852,69,061301806951,['2172-0150'],True
7555,499295,69,06302270582,['2215-3470'],True
1369,442442,68,061201023272,['0806-198X'],Unknown
4473,485294,68,061502455944,"['2051-9699', '2051-9702']",Unknown
2620,471062,68,06201410354,"['2174-4017', '0210-377X']",Unknown
505,418199,68,06202208865,"['0804-7375', '2387-4546']",True
6571,494240,68,061601062052,['2517-6323'],True
4027,483898,68,06802591172,['1699-311X'],True
1842,445292,68,062201543262,"['0185-3058', '2683-1759']",True
7041,497301,68,0610968789,['1916-257X'],True
5280,488005,68,06101067942,"['2215-1354', '2215-1362']",Unknown
2746,472502,68,06501841091,['1733-5566'],True
3493,480879,68,061701083862,"['2044-2831', '2044-2823']",Unknown
7238,498297,68,062401885891,"['1390-8928', '2477-8850']",True
5199,487503,68,06102208735,['1855-0541'],True
6808,496556,68,06301728617,"['1804-7890', '2464-6733']",Unknown
7329,498607,68,061302117977,"['1897-9262', '2658-1736']",True
4212,484510,68,062601710761,"['2392-1196', '0867-4159']",Unknown
1164,441106,68,0634011912,['1935-0228'],Unknown
8008,502105,68,06401063941,"['0482-5276', '2215-2601']",True
3287,478648,68,062202730573,"['2033-5393', '2033-5385']",Unknown
3927,483344,68,062101475606,"['2450-5765', '1644-6763']",True
922,439633,68,061601225800,"['1699-292X', '0211-0547']",True
3468,480647,67,061102731318,['2327-5731'],Unknown
4160,484155,67,06802368396,"['0555-0025', '2299-6362']",True
2944,475115,67,061901633198,"['1409-6099', '1857-663X']",True
6900,496813,67,062201705684,"['1909-7433', '2145-308X']",Unknown
6223,491673,67,062301244044,['2002-2867'],True
2762,472672,67,061501253821,['1634-0450'],True
3270,478508,67,062502745100,"['2091-0878', '2738-9707']",True
3740,482478,67,06903158616,['0773-7912'],Unknown
3447,480427,67,0644025298,"['2406-0763', '0350-185X']",True
2379,450926,67,0670547273,['1073-0427'],Unknown
2792,473127,67,061602684454,"['2198-6959', '0942-2285']",True
3426,480212,67,062401444393,"['1740-7125', '1743-1638']",Unknown
5079,487016,67,06301488502,"['1135-3716', '2340-7042']",Unknown
4728,486029,67,06401677922,"['0323-0562', '2336-5730']",True
6714,495181,67,06101821365,['1300-7319'],Unknown
2395,451151,67,06901141970,['2165-2686'],Unknown
5086,487034,67,0625088527,"['2045-5852', '2045-5860']",Unknown
4740,486047,67,062301989398,['2014-3591'],True
4955,486633,67,06101644524,['2255-0461'],True
4297,484858,67,062602105185,"['1805-3580', '1805-9767']",Unknown
2724,472232,67,06801818365,['1562-4730'],True
5524,488807,67,061501815811,"['1575-0825', '2172-3184']",True
3571,481634,67,062401825270,"['0029-4845', '2406-4726']",Unknown
5829,490318,67,06501653544,"['2340-1370', '1130-1082']",True
4453,485243,67,0639035896,"['2449-8661', '1896-9461']",Unknown
3495,480902,67,062502383616,['2165-0659'],Unknown
4883,486458,67,062045783,['2353-6845'],True
5800,490190,67,062601853665,"['2179-9911', '1413-2109']",Unknown
4953,486627,66,061801661570,"['2174-9221', '2174-3487']",True
5178,487380,66,063058813,"['2413-158X', '2413-1571']",True
4963,486653,66,061102231817,['1390-6631'],True
5791,490161,66,061802202343,"['2161-2188', '2161-2196']",Unknown
5118,487118,66,06250724247,"['2287-965X', '2287-9811']",Unknown
5179,487401,66,06401563976,['1983-5213'],True
6250,492972,66,062502076177,['2514-8362'],True
6253,492979,66,06301410123,['1804-5650'],Unknown
1196,441206,66,061902439744,"['2152-1026', '0740-0675']",Unknown
2813,473507,66,06601224990,"['1970-3201', '1970-321X']",True
7591,499413,66,06260740190,"['2055-5695', '2055-5709']",Unknown
7666,499606,66,06102382151,"['2178-2679', '1809-0249']",True
5389,488392,66,0618054416,"['2312-8046', '2312-0657']",Unknown
6211,491600,66,0640976101,['2564-7261'],True
6407,493616,66,061901666502,"['2450-2146', '2451-1064']",Unknown
8518,504827,66,061201710041,['2531-016X'],True
6436,493715,66,06150389346,['0072-4769'],Unknown
5670,489558,66,061501265946,['2254-3376'],True
6774,496440,66,061401627829,['2602-3806'],Unknown
5366,488317,66,06602799381,['1669-6581'],True
5228,487650,66,06502360650,"['2413-2349', '2311-0155']",True
5611,489121,66,062201875136,['2422-1074'],Unknown
3158,477224,66,06403124476,"['1874-8937', '1874-8945']",Unknown
7840,500584,66,06702205511,['2382-4018'],True
7111,497638,66,061701936766,['1981-1640'],True
3865,483061,66,064042043,"['1332-0742', '1849-0395']",True
4464,485270,66,061802127618,['1988-1088'],True
5986,490900,66,062401927658,"['2530-7878', '1133-0902']",Unknown
5010,486858,66,0625088495,"['2045-5844', '2045-5836']",Unknown
3313,478843,66,06260312366,"['1946-7842', '1529-9104']",Unknown
5943,490724,66,06602371394,"['1138-5774', '2341-0833']",True
5515,488794,66,061502246231,['2156-9428'],Unknown
612,436993,65,061601096008,"['1848-5782', '1331-1182']",Unknown
2062,446685,65,061101824216,"['1864-0737', '0035-8126']",Unknown
5507,488774,65,061502009561,"['1989-3558', '0212-1867', '1989-3574']",Unknown
6974,497030,65,061302132911,['1989-8754'],Unknown
5506,488773,65,062301708496,"['2145-4531', '0124-0579']",True
2747,472503,65,061701639137,"['2215-3292', '1409-469X']",True
7239,498298,65,06101152992,['2149-2751'],Unknown
6769,496404,65,06301096227,"['2530-5832', '0046-435X']",True
4633,485808,65,0610850210,"['2050-070X', '2050-0718']",Unknown
5605,489104,65,06602560954,"['1519-5899', '2179-7943']",True
6439,493723,65,062501254304,"['0123-4072', '2619-6174']",True
6802,496531,65,062101687719,['2651-4877'],Unknown
6654,494689,65,06301443044,"['2357-6448', '0120-4661']",True
6857,496735,65,06102295903,['2545-384X'],True
4052,483956,65,06201726839,['0137-6624'],True
6031,491009,65,062202567258,"['2313-934X', '0328-9702']",True
4663,485861,65,062501820294,"['2450-8497', '1337-9291']",Unknown
5173,487364,65,061602220185,['2387-5739'],True
5126,487147,65,061101627808,"['2007-8846', '1665-899X']",Unknown
5975,490861,65,06102562529,"['2411-5940', '2413-4465']",True
3173,477380,65,06130798654,['1478-6737'],Unknown
6712,495174,65,06501678351,['2398-8819'],True
2365,449676,65,06601105567,['2299-6885'],Unknown
3216,477748,65,06501137550,"['2215-1214', '0039-8691']",True
4233,484668,65,06601847388,"['1425-6851', '1689-1864']",Unknown
5163,487267,64,061401535900,"['2007-1094', '1665-6180']",True
7716,500012,64,062202053861,['2339-4196'],True
7745,500226,64,06103234321,"['2173-3511', '2173-6049']",True
4282,484835,64,061401569494,['2014-6418'],True
5153,487240,64,062502378763,['2392-7054'],True
3301,478809,64,06301408789,"['1820-659X', '1820-6581']",True
5159,487253,64,061201207870,['2286-2552'],True
8448,504358,64,06301096261,"['2530-6324', '1138-039X']",Unknown
6302,493245,64,062501250242,"['2068-7559', '2344-4932']",True
2876,474222,64,06401416848,"['0353-7919', '1820-7804']",True
4909,486514,64,062502862531,"['1933-6985', '2405-478X']",Unknown
6784,496472,64,06102489129,"['2542-5277', '2542-5285']",Unknown
4751,486064,64,061702155884,"['2300-9918', '2300-5327']",True
5872,490456,64,062101883761,['2416-2140'],True
3728,482412,64,061602025304,"['2350-4242', '0580-373X']",True
4948,486600,64,061501489240,['2079-3871'],True
5062,486964,64,06802369860,"['2310-0028', '2073-9745']",Unknown
1031,440322,64,06901861965,"['0332-0758', '2009-0056']",Unknown
7344,498655,64,062402127293,"['1888-8143', '2605-082X']",True
2040,446583,64,061903098934,"['0035-2381', '2294-1088']",Unknown
5707,489695,64,061801663991,"['2391-7997', '2450-050X']",Unknown
7281,498424,64,062101390122,['2148-3434'],True
5991,490914,64,062202085664,['2148-7634'],Unknown
4997,486831,64,0650460733,"['2386-0316', '1581-8918']",True
6814,496594,64,062301757599,"['2663-0575', '2663-0583']",True
7489,499102,63,061101877826,"['0325-8238', '2525-1627']",True
6316,493272,63,06202793034,['1519-9029'],True
4517,485432,63,06101602415,"['1804-509X', '1804-5081']",True
5750,489971,63,06101816469,['2149-6544'],Unknown
6910,496832,63,062501654758,"['1413-9073', '2358-4114']",True
7758,500265,63,06702296726,['2631-2816'],True
624,437249,63,06601847324,"['1689-0027', '0065-1583']",Unknown
6299,493240,63,061401926536,"['2232-9641', '2566-2805']",True
5184,487421,63,0660927098,['2038-0925'],True
5025,486888,63,062601710888,"['2392-1544', '1895-4308']",True
6251,492977,63,061201656080,"['2560-3108', '2334-8666']",True
7478,499079,63,062101900494,"['1659-4436', '1409-0724']",True
6985,497059,63,061502009598,['1989-3612'],True
1023,440252,63,0640603409,"['1559-2715', '0013-8339']",Unknown
7826,500533,63,06801718892,['2587-0882'],Unknown
6770,496405,63,061301691982,"['2414-8393', '2409-6520']",Unknown
3372,479765,63,06702231984,"['2153-5558', '2153-5531']",Unknown
5512,488791,63,061701743816,"['1886-5887', '2545-6385']",True
4450,485240,63,061101418105,['2353-7000'],Unknown
3978,483617,63,062601467756,['2246-1809'],Unknown
7214,498182,63,062302069103,['2178-8839'],True
4443,485212,62,06701088288,"['2197-4292', '2197-4306']",Unknown
4721,486015,62,062201969532,"['2603-9710', '0210-8364']",True
4795,486173,62,062501900344,"['0033-202X', '2545-2487']",Unknown
2355,449281,62,06103043048,"['2677-4224', '1253-9708']",Unknown
7624,499500,62,062302687312,['1885-8996'],True
7464,499029,62,06401625045,['2543-8042'],Unknown
4432,485166,62,06102263938,['2313-5433'],True
5439,488558,62,062301766179,['2501-1596'],Unknown
3809,482899,62,061902129320,"['1988-2394', '1133-9527']",True
5729,489829,62,062201473767,['2450-7563'],Unknown
2136,447213,62,062101866437,"['0039-2944', '2421-5856']",Unknown
3438,480322,62,06701095009,"['2299-856X', '2299-8470']",True
6109,491211,62,062202749606,"['0122-2066', '2145-8499']",True
4004,483747,62,061701220047,"['1761-4961', '2295-970X']",Unknown
4927,486547,62,06210750458,"['2214-3947', '2214-3955']",Unknown
5671,489559,62,061601266324,['2254-4143'],True
7541,499222,62,061402087706,"['2543-5442', '2544-3283']",Unknown
7234,498281,62,06401785234,['1981-1969'],True
3391,479864,62,061401880377,"['1454-8100', '2344-5440']",True
2657,471299,62,06502407408,"['1516-5159', '2317-8086']",True
8036,502247,62,06402381325,"['1983-4713', '2176-3275']",True
7342,498653,62,06901798926,"['2538-8762', '1822-8682']",True
6899,496812,62,06502307367,['2353-1428'],Unknown
4515,485426,62,06402335694,"['2083-3113', '1644-3586']",Unknown
4960,486646,62,061501494134,"['1453-4223', '2065-9547']",True
5993,490917,62,06301680604,['1578-7559'],True
6931,496939,62,06302118192,['2311-259X'],True
1678,444225,62,062601467850,"['2246-2589', '0905-6998']",True
3667,482038,62,062302236639,['2445-267X'],Unknown
2563,470481,61,06702787666,"['1504-3088', '1503-5883']",Unknown
4445,485220,61,0612041117,"['1645-7250', '1646-401X']",Unknown
5211,487565,61,061602396486,"['2288-5072', '2233-470X']",Unknown
3986,483657,61,061202049072,['2014-3621'],True
5267,487923,61,062035344,"['2576-7933', '1936-0843']",Unknown
7284,498429,61,06501460327,['0044-748X'],Unknown
2485,468718,61,0680117635,"['2719-5376', '0031-0514']",Unknown
4783,486155,61,062401112069,"['1805-3238', '1801-1764']",True
4696,485942,61,062201131873,"['2081-1152', '1506-8900']",Unknown
4670,485869,61,06101743563,"['2084-395X', '1897-1962']",Unknown
4675,485887,61,06501682056,"['1845-8475', '1849-0514']",True
7505,499139,61,061101673998,"['2051-7041', '2051-705X']",Unknown
4158,484153,61,06201730622,"['2084-3976', '1896-8201']",Unknown
4549,485568,61,06102264962,"['2443-9991', '0213-7771']",True
8347,503775,61,0621043440,"['1993-4904', '1025-9945']",True
4544,485549,61,06501654204,['2340-1869'],True
5140,487204,61,06301607351,"['1514-7991', '1853-6387']",True
3463,480633,61,06201291279,['2159-6808'],Unknown
4132,484097,61,061901075299,"['1505-8913', '2391-6753']",True
507,418427,61,061801848646,"['1017-3285', '2523-9201']",Unknown
5028,486891,61,062601710908,"['1896-4362', '2392-1552']",True
6034,491012,60,061901848848,"['2617-5266', '2518-7635']",Unknown
3033,476088,60,061301966503,"['1392-5520', '2351-6534']",Unknown
5238,487676,60,062401112143,['1805-3726'],Unknown
6877,496779,60,06602823445,"['2468-8797', '2468-8800']",Unknown
4154,484134,60,06201843800,['1894-8693'],True
5196,487500,60,06102297497,['2064-9940'],True
5198,487502,60,06101340458,['1865-5866'],True
6201,491578,60,062301484732,"['0213-1382', '2444-023X']",True
4727,486027,60,062301754071,['2063-7330'],True
5877,490467,60,0620911223,"['2283-3196', '2280-9643']",True
2129,447133,60,0650166582,['0038-7479'],Unknown
6373,493445,60,06190755147,"['2145-1389', '2463-1140']",True
5510,488781,60,062201505886,['1994-2370'],Unknown
6997,497100,60,061601266352,['2254-4313'],True
6363,493404,60,062101628140,['2544-5502'],True
2845,473971,60,061302083992,['0717-5051'],True
5935,490698,60,061902454042,['2281-9177'],Unknown
6658,494740,60,06120767492,['2636-8625'],Unknown
5252,487817,60,061602610948,"['2076-2429', '2223-3814']",True
7726,500058,60,061401992651,['2659-8671'],True
7114,497641,60,061901795586,"['2389-9980', '0120-131X']",True
8211,502977,60,06201730756,"['2711-0532', '2665-1513']",True
5034,486901,60,062101900421,['1659-4142'],True
7273,498405,59,06302151957,['1301-3289'],Unknown
6844,496689,59,061102035594,"['2658-5081', '2687-0002']",True
6510,494038,59,065042444,"['2522-4271', '0320-4421']",Unknown
7686,499809,59,061601943066,['2595-573X'],Unknown
6843,496678,59,062302022474,"['0208-6107', '2353-9631']",True
3368,479725,59,06601475296,"['2034-3515', '2034-3523']",Unknown
6487,493905,59,062501694333,"['1758-9584', '1758-9576']",True
2378,450925,59,061101008922,['1350-7532'],Unknown
2625,471073,59,062201649873,"['1988-2556', '0212-2952']",Unknown
2629,471086,59,061602025380,"['2350-4250', '0353-9660']",True
6401,493606,59,06501783617,"['1516-0785', '1981-4070']",True
6887,496794,59,06201095918,['1870-1442'],True
6255,492981,59,06102170537,['2570-5857'],Unknown
7183,498001,59,06401090066,"['2541-7894', '2542-243X']",True
6326,493309,59,06901497934,"['2406-0364', '2217-995X']",True
4357,484974,59,062401479569,"['2043-8567', '2043-8575']",Unknown
8435,504316,59,062201416705,['2796-9320'],Unknown
7720,500045,59,06901798939,"['2539-1623', '0120-4165']",True
3932,483369,59,06901570610,"['1693-6086', '1693-167X']",Unknown
7937,501913,59,06901571103,"['2786-4510', '2618-0529']",Unknown
5047,486933,59,0610847903,"['1995-4336', '1995-4328']",True
4218,484550,59,06203171597,"['1878-464X', '1878-4631']",Unknown
5078,487015,59,0620774869,"['2043-071X', '2043-0701']",Unknown
4447,485231,59,062302621190,['2084-6991'],Unknown
3872,483085,59,0625014921,"['1366-2724', '1756-9923']",Unknown
7694,499908,58,06702452137,"['2456-3226', '0976-545X']",Unknown
6572,494241,58,062401239301,['2602-3342'],Unknown
4032,483904,58,062301989319,['2014-2862'],True
6841,496675,58,062201473660,"['2450-6990', '0208-6050']",True
3500,480937,58,06302169024,"['2588-8099', '2165-9214']",Unknown
7058,497368,58,062601522626,"['2545-6377', '2545-6369']",True
2151,447270,58,061501972368,"['2157-2941', '0730-9139']",Unknown
5749,489970,58,061701085296,"['2412-8872', '2414-9497']",True
4049,483950,58,06101786775,"['2657-5213', '0137-1673']",Unknown
5241,487715,58,062301989174,['2014-038X'],True
7749,500235,58,06602405604,"['1578-2549', '1138-9672']",True
8326,503576,58,061201063794,['2146-4901'],Unknown
4261,484780,58,06302320999,"['2083-0998', '2719-4078']",True
5485,488711,58,069055698,"['2450-7814', '2450-8829']",True
6738,495300,58,06102865224,['2447-9543'],True
4995,486826,58,06170155984,"['2611-7649', '0392-4556']",Unknown
7138,497848,58,0630290024,"['2214-9910', '2213-0624', '2666-6529']",Unknown
2697,471853,58,06601830193,['1866-6124'],Unknown
7128,497795,58,061101312375,"['2658-0349', '1509-877X']",Unknown
4852,486374,58,065038039,"['2457-9297', '2393-1744']",Unknown
6106,491191,58,061701477428,['2514-3298'],True
3611,481814,58,062602766147,['0081-3834'],Unknown
4885,486461,58,061201936847,"['2055-7752', '2055-7760']",Unknown
6061,491065,58,061501663813,['2227-1864'],Unknown
5026,486889,58,062201131737,['2080-9506'],Unknown
5377,488342,58,061502823529,"['1721-5242', '2283-7337']",Unknown
6946,496968,58,06702372290,"['2306-546X', '2414-3774']",True
4582,485685,57,062201473675,"['0860-1232', '1689-8966', '2450-7040']",True
7550,499283,57,06902176974,['2147-9380'],True
3546,481510,57,061601286236,"['0003-8008', '1816-2959']",Unknown
3323,478911,57,06502504580,['1897-1652'],Unknown
4915,486522,57,06602835723,"['2212-9421', '2212-943X']",Unknown
2335,448307,57,061801974711,['1868-7806'],Unknown
5832,490325,57,061601648386,"['2658-4883', '2072-0726']",Unknown
4504,485397,57,06101739592,"['2544-5812', '0137-4176']",Unknown
6042,491030,57,061701910609,"['2304-4322', '1019-9403']",True
7930,501875,57,06202594271,['2380-0550'],Unknown
5325,488183,57,061102194246,"['1137-1102', '1989-631X']",True
3641,481981,57,061101669652,"['2174-517X', '0210-3729']",True
4916,486523,57,06160601294,"['2213-1035', '2213-1027']",Unknown
4038,483922,57,0615044092,"['2284-5666', '2688-8211']",Unknown
4381,485037,57,062301989371,['2014-3575'],True
1849,445413,57,061702092060,"['1783-1644', '0078-463X']",Unknown
2484,468717,57,06201703153,['1507-4153'],True
4798,486189,57,06502307469,"['2353-1991', '2083-7658']",Unknown
5206,487538,57,06702456614,['2147-6489'],True
6402,493607,57,06401297576,"['2539-0554', '0124-8693']",True
6404,493611,57,061902086661,"['2183-5063', '2184-061X']",True
6907,496826,57,06102181853,"['2519-9986', '2520-3258']",Unknown
7536,499209,57,061701860022,"['2057-0384', '2057-0392']",Unknown
7109,497636,56,06101801125,['1309-4602'],Unknown
4537,485488,56,061902821577,"['2211-6257', '2211-6249']",True
830,438923,56,061102731513,['2327-5898'],Unknown
3430,480252,56,062301989424,['2014-3605'],True
7422,498870,56,061701477512,['2514-4774'],True
7395,498793,56,061701640850,"['2616-5430', '2524-003X']",True
4810,486220,56,061402087614,"['2081-8882', '2544-3003']",True
6679,494978,56,06901941893,"['2664-9969', '2706-5448']",True
5329,488195,56,0670543297,['2354-0214'],Unknown
6720,495207,56,061901848868,"['2617-541X', '2524-101X']",True
6267,493147,56,06401496935,"['2217-4958', '2466-5363']",Unknown
3725,482400,56,06302497589,"['0570-8966', '1581-1204']",True
